company,country,genre,name,rating,runtime,score,votes,year
Cinema Group Ventures,USA,Action,Born American,R,97,4.3,1509,1986
Paramount Pictures,USA,Action,Blue City,R,83,4.4,792,1986
Cascade Films,Australia,Comedy,Malcolm,PG-13,90,7.2,1623,1986
Miramax,USA,Comedy,Playing for Keeps,PG-13,102,4.1,515,1986
Golan-Globus Productions,USA,Drama,Duet for One,R,107,7,699,1986
Island Pictures,USA,Comedy,Nobody's Fool,PG-13,107,5.5,652,1986
Paramount Pictures,USA,Comedy,The Whoopee Boys,R,88,6.2,639,1986
Blake Edwards,USA,Comedy,That's Life!,PG-13,102,6.1,1032,1986
Hemdale,USA,Comedy,Body Slam,PG,89,5.3,795,1986
"Rank Organisation, The",UK,Thriller,Defense of the Realm,PG,96,6.6,1625,1986
Cinequanon,Argentina,Drama,Man Facing Southeast,R,105,7.8,2991,1986
Corporation Image M & M,Canada,Comedy,The Decline of the American Empire,R,101,7.3,6622,1986
Rastar Films,USA,Drama,Violets Are Blue...,PG-13,88,5.7,553,1986
Portreeve,UK,Thriller,The Whistle Blower,PG,100,6.2,1672,1986
American Playhouse,USA,Drama,Native Son,PG,111,5.9,448,1986
Carson Productions,USA,Drama,Desert Bloom,PG,105,6.6,821,1986
Alternate Current,USA,Drama,Working Girls,UNRATED,93,6.5,604,1986
Ciné Valse,France,Comedy,Ménage,Not specified,84,7,2022,1986
Caméras Continentales,Denmark,Biography,Oviri,R,100,6.2,275,1986
Film Corporation of Kenya,UK,Action,In the Shadow of Kilimanjaro,R,100,5.1,310,1986
Cineplex-Odeon Films,Australia,Drama,Kangaroo,R,108,6.7,156,1986
Cannon Group,USA,Action,Dangerously Close,R,95,6.6,935,1986
Hyperion Pictures,USA,Family,Nutcracker,G,100,7.2,578,1986
Produzioni Europee Associate (PEA),Italy,Comedy,Ginger and Fred,PG-13,125,7.3,3859,1986
Metro-Goldwyn-Mayer (MGM),USA,Crime,Dream Lover,R,104,5.1,405,1986
MTM Enterprises,USA,Drama,Just Between Friends,PG-13,110,5.9,629,1986
Lynn-Davis Productions,USA,Action,Thunder Run,PG-13,90,5.1,218,1986
Longshot,USA,Comedy,The Longshot,PG-13,89,5.4,457,1986
Silver Screen Partners II,USA,Comedy,Off Beat,PG,92,5,748,1986
Roundhouse,USA,Drama,Streets of Gold,R,95,6,505,1986
Convy-Fimberg Productions,USA,Action,Weekend Warriors,R,100,4.4,237,1986
J&M; Entertainment,UK,Action,Sky Bandits,PG,100,4.6,183,1986
Cinetel Films,USA,Action,Armed Response,R,86,4.9,489,1986
Cannon City Produktie Maatschappij B.V.,Netherlands,Drama,Otello,PG,100,7.2,424,1986
Alliance Communications Corporation,USA,Drama,On the Edge,PG-13,95,7.1,171,1986
Action Communications,USA,Action,Low Blow,R,100,3.5,256,1986
Cote Blanche Productions,USA,Drama,Belizaire the Cajun,PG,103,6.4,391,1986
Les Films 13,France,Drama,A Man and a Woman: 20 Years Later,PG,112,5.8,496,1986
New Line Cinema,USA,Action,Quiet Cool,R,100,5.7,542,1986
Not specified,USA,Action,Behind Enemy Lines,R,90,4.9,368,1986
Not specified,USA,Action,Wired to Kill,R,86,4.2,163,1986
Fringe Dwellers Productions,Australia,Drama,The Fringe Dwellers,PG,98,6.7,305,1986
T. Films,France,Crime,Scene of the Crime,Not specified,90,6.9,565,1986
Hanna-Barbera Productions,USA,Animation,GoBots: Battle of the Rock Lords,G,75,5.8,397,1986
Channel Four Films,UK,Comedy,The Gospel According to Vic,PG,92,6.1,227,1986
Grace,USA,Action,Knights of the City,R,87,4.8,103,1986
Embassy Pictures,USA,Comedy,Saving Grace,PG,112,7,467,1986
Hunter/MFG Production,USA,Action,Jackals,R,97,5.3,139,1986
Cannon Films,USA,Comedy,Detective School Dropouts,PG,92,5.8,220,1986
CBS Entertainment Production,USA,Adventure,Where the River Runs Black,PG,100,6.6,351,1986
DIC Entertainment,Canada,Family,Heathcliff: The Movie,G,73,5.3,187,1986
AAR Films,USA,Comedy,One More Saturday Night,R,95,5.7,211,1986
Act III Communications,USA,Adventure,The Princess Bride,PG,98,8.1,320953,1987
Cinemarque Entertainment BV,UK,Horror,Hellraiser,R,94,7,83209,1987
Natant,UK,Drama,Full Metal Jacket,R,116,8.3,537826,1987
Great American Films Limited Partnership,USA,Drama,Dirty Dancing,PG-13,100,6.9,155978,1987
Warner Bros.,USA,Comedy,The Lost Boys,R,97,7.3,100376,1987
Amercent Films,USA,Action,Predator,R,107,7.8,313213,1987
Braveworld Productions,USA,Action,The Running Man,R,101,6.6,120345,1987
Brooksfilms,USA,Adventure,Spaceballs,PG,96,7.1,146748,1987
Orion Pictures,USA,Action,RoboCop,R,102,7.5,196245,1987
Warner Bros.,USA,Action,Lethal Weapon,R,110,7.6,204328,1987
Paramount Pictures,USA,Crime,The Untouchables,R,119,7.9,234254,1987
De Laurentiis Entertainment Group (DEG),USA,Comedy,Evil Dead II,R,84,7.8,123325,1987
Golan-Globus Productions,USA,Action,Masters of the Universe,PG,106,5.4,30370,1987
Home Box Office (HBO),USA,Action,The Monster Squad,PG-13,82,7.2,21420,1987
Paramount Pictures,USA,Drama,Fatal Attraction,R,119,6.9,60383,1987
Eon Productions,UK,Action,The Living Daylights,PG,130,6.7,74272,1987
Twentieth Century Fox Film Corporation,USA,Crime,Wall Street,R,126,7.4,126195,1987
Amblin Entertainment,USA,Drama,Empire of the Sun,PG,153,7.8,96566,1987
Apollo Pictures,USA,Comedy,Can't Buy Me Love,PG-13,94,6.7,26348,1987
Warner Bros.,USA,Comedy,The Witches of Eastwick,R,118,6.5,51642,1987
Paramount Pictures,USA,Comedy,Summer School,PG-13,97,6.5,14038,1987
New Line Cinema,USA,Action,A Nightmare on Elm Street 3: Dream Warriors,R,96,6.6,55414,1987
Touchstone Pictures,USA,Action,Adventures in Babysitting,PG-13,102,6.9,30850,1987
RKO Pictures,USA,Action,Hamburger Hill,R,110,6.7,20159,1987
Universal Pictures,USA,Adventure,Jaws: The Revenge,PG-13,89,2.9,33419,1987
Cannon Group,USA,Action,Over the Top,PG,93,5.7,40916,1987
Paramount Pictures,USA,Comedy,"Planes, Trains & Automobiles",R,93,7.6,98897,1987
Circle Films,USA,Comedy,Raising Arizona,PG-13,94,7.4,107669,1987
Carolco International N.V.,UK,Horror,Angel Heart,R,113,7.3,67453,1987
Hughes Entertainment,USA,Drama,Some Kind of Wonderful,PG-13,95,7.1,21931,1987
Gladden Entertainment,USA,Comedy,Mannequin,PG,90,5.8,24626,1987
Hawn / Sylbert Movie Company,USA,Comedy,Overboard,PG,106,6.8,40429,1987
Warner Bros.,USA,Action,Innerspace,PG,120,6.8,45172,1987
Metro-Goldwyn-Mayer (MGM),USA,Comedy,Moonstruck,PG,102,7.1,38600,1987
Paramount Pictures,USA,Action,Beverly Hills Cop II,R,100,6.5,90969,1987
Amblin Entertainment,USA,Comedy,Harry and the Hendersons,PG,110,5.9,26157,1987
Recorded Picture Company (RPC),UK,Biography,The Last Emperor,PG-13,163,7.8,76408,1987
Touchstone Pictures,USA,Biography,"Good Morning, Vietnam",R,121,7.3,106924,1987
Merchant Ivory Productions,UK,Drama,Maurice,R,140,7.7,11837,1987
Interscope Communications,USA,Comedy,3 Men and a Baby,PG,102,5.9,39544,1987
Alive Films,USA,Horror,Prince of Darkness,R,102,6.7,28064,1987
Columbia Pictures Corporation,USA,Biography,La Bamba,PG-13,108,6.8,22839,1987
F/M,USA,Action,Near Dark,R,94,7,27485,1987
Road Movies Filmproduktion,West Germany,Drama,Wings of Desire,PG-13,128,8.1,51522,1987
Twentieth Century Fox Film Corporation,USA,Crime,Less Than Zero,R,98,6.4,15500,1987
Orion Pictures,USA,Action,No Way Out,R,114,7.1,28684,1987
Universal Pictures,USA,Comedy,*batteries not included,PG,106,6.6,25330,1987
United Artists,USA,Comedy,Baby Boom,PG,110,6.1,11414,1987
Cineplex-Odeon Films,UK,Comedy,Withnail & I,R,107,7.8,33285,1987
Fries Entertainment,USA,Drama,Flowers in the Attic,PG-13,93,5.7,7993,1987
Amercent Films,USA,Comedy,Broadcast News,R,133,7.2,22802,1987
New Century Entertainment Corporation,Canada,Fantasy,Túnel al infierno,PG-13,85,6,11435,1987
Cannon Films,UK,Action,Superman IV: The Quest for Peace,PG,90,3.6,35866,1987
Laurel Entertainment Inc.,USA,Comedy,Creepshow 2,R,92,6,17500,1987
Atlantic Entertainment Group,USA,Comedy,Teen Wolf Too,PG,95,3.2,8905,1987
Columbia Pictures Industries,USA,Comedy,Roxanne,PG,107,6.6,34794,1987
Rastar Pictures,USA,Comedy,The Secret of My Succe$s,PG-13,111,6.5,24685,1987
Applied Action,USA,Comedy,Dragnet,PG-13,106,5.9,27387,1987
British Screen Productions,UK,Comedy,"Rita, Sue and Bob Too",R,93,6.4,2747,1987
TriStar Pictures,USA,Comedy,Blind Date,PG-13,95,5.9,17903,1987
New World Pictures,USA,Comedy,House II: The Second Story,PG-13,88,5.4,8302,1987
Warner Bros.,USA,Comedy,Police Academy 4: Citizens on Patrol,PG,88,4.8,33955,1987
Atlantic Entertainment Group,USA,Adventure,The Garbage Pail Kids Movie,PG,100,2.7,6348,1987
Orion Pictures,USA,Comedy,Throw Momma from the Train,PG-13,88,6.2,28550,1987
Incorporated Television Company (ITC),UK,Horror,The Stepfather,R,89,6.8,9959,1987
Heron Communications,USA,Action,The Hidden,R,96,7,13878,1987
Universal Pictures,USA,Comedy,Amazon Women on the Moon,R,85,6.2,8755,1987
Golan-Globus Productions,USA,Comedy,Barfly,R,100,7.3,15647,1987
Universal Pictures,USA,Comedy,Three O'Clock High,PG-13,97,7.2,8970,1987
Panorama Film A/S,Denmark,Comedy,Babette's Feast,G,102,7.8,14838,1987
Orion Pictures,USA,Crime,The Believers,R,114,6.1,4900,1987
Amercent Films,USA,Comedy,The Pick-up Artist,PG-13,81,5.2,5348,1987
Orion Pictures,USA,Comedy,Radio Days,PG,88,7.6,26467,1987
